#NA_summits Enhancers
#Created from peak_called/NA_summits_12KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by mapped_sorted.bam
#Using cutoff of 6537.8504 for Super-Enhancers
#Created on mar 31 2019 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	mapped_sorted.bam	enhancerRank	isSuper
26_NA_peak_1724_lociStitched	1	143185237	143266693	26	52	108181.7136	1	1
7_NA_peak_11037_lociStitched	17	43266938	43300378	7	14	79858.064	2	1
9_NA_peak_9843_lociStitched	16	46380859	46400168	9	18	56401.589	3	1
6_NA_peak_11032_lociStitched	17	43231911	43252165	6	12	51637.573	4	1
5_NA_peak_390_lociStitched	1	16889306	16914417	5	10	50663.9536	5	1
6_NA_peak_990_lociStitched	1	44800008	44829714	6	12	46314.6246	6	1
6_NA_peak_23817_lociStitched	8	55832294	55865108	6	12	45096.2802	7	1
5_NA_peak_26106_lociStitched	KI270438.1	104083	112242	5	10	43241.0682	8	1
3_NA_peak_12683_lociStitched	19	13836565	13847565	3	6	42168.5	9	1
9_NA_peak_17247_lociStitched	22	46036319	46070920	9	18	40680.3957	10	1
10_NA_peak_14346_lociStitched	2	70078072	70125054	10	20	39732.6774	11	1
8_NA_peak_3163_lociStitched	10	17200202	17230364	8	16	39660.0138	12	1
4_NA_peak_1698_lociStitched	1	125167908	125182554	4	8	39369.9126	13	1
6_NA_peak_6168_lociStitched	12	54385869	54429196	6	12	37152.9025	14	1
9_NA_peak_12306_lociStitched	19	1848606	1905583	9	18	35240.2745	15	1
3_NA_peak_24003_lociStitched	8	67952297	67969143	3	6	34355.7324	16	1
13_NA_peak_9822_lociStitched	16	34572698	34595530	13	26	33967.1664	17	1
8_NA_peak_451_lociStitched	1	22018768	22052934	8	16	33656.9266	18	1
4_NA_peak_133_lociStitched	1	3583517	3610835	4	8	33308.8374	19	1
10_NA_peak_1839_lociStitched	1	149826729	149861599	10	20	33307.824	20	1
9_NA_peak_4817_lociStitched	11	65471923	65499454	9	18	33205.1391	21	1
3_NA_peak_24747_lociStitched	8	129575625	129593545	3	6	32598.272	22	1
5_NA_peak_26149_lociStitched	KI270733.1	135098	166322	5	10	31523.7504	23	1
7_NA_peak_26209_lociStitched	X	1536627	1572105	7	14	31295.1438	24	1
11_NA_peak_10522_lociStitched	17	8139270	8190085	11	22	30555.0595	25	1
7_NA_peak_24949_lociStitched	8	143541289	143574362	7	14	29074.4743	26	1
7_NA_peak_26642_lociStitched	X	49147592	49177241	7	14	28718.0214	27	1
11_NA_peak_21456_lociStitched	6	27807704	27838868	11	22	28371.7056	28	1
7_NA_peak_12829_lociStitched	19	18280644	18304992	7	14	28304.55	29	1
7_NA_peak_21360_lociStitched	6	25025395	25062679	7	14	27746.7528	30	1
5_NA_peak_3403_lociStitched	10	43397108	43420730	5	10	27687.3462	31	1
8_NA_peak_15491_lociStitched	2	231643213	231687617	8	16	27494.9568	32	1
7_NA_peak_26399_lociStitched	X	30577235	30598546	7	14	27261.0312	33	1
7_NA_peak_824_lociStitched	1	37989786	38012933	7	14	27216.2426	34	1
7_NA_peak_17816_lociStitched	3	49333566	49357995	7	14	27101.5326	35	1
5_NA_peak_774_lociStitched	1	36149390	36162130	5	10	26714.506	36	1
10_NA_peak_13267_lociStitched	19	45439791	45478806	10	20	26573.1165	37	1
7_NA_peak_788_lociStitched	1	36374472	36401353	7	14	26311.1228	38	1
8_NA_peak_12277_lociStitched	19	1241938	1276193	8	16	26095.459	39	1
5_NA_peak_26716_lociStitched	X	65655890	65678655	5	10	25904.2935	40	1
5_NA_peak_17760_lociStitched	3	46952999	46996991	5	10	25713.324	41	1
11_NA_peak_4916_lociStitched	11	67381376	67437500	11	22	25463.4588	42	1
4_NA_peak_4897_lociStitched	11	67266867	67288793	4	8	25252.1742	43	1
5_NA_peak_17478_lociStitched	3	15795783	15812063	5	10	24918.168	44	1
6_NA_peak_9800_lociStitched	16	31108545	31141673	6	12	24872.5024	45	1
10_NA_peak_1945_lociStitched	1	153944903	153990941	10	20	24786.8592	46	1
6_NA_peak_67_lociStitched	1	1890649	1920703	6	12	24761.4906	47	1
7_NA_peak_21579_lociStitched	6	31795849	31834748	7	14	24724.2044	48	1
6_NA_peak_11262_lociStitched	17	58331084	58352638	6	12	24672.8638	49	1
4_NA_peak_24359_lociStitched	8	102395142	102412451	4	8	24658.4014	50	1
